"school","birthyear","gender","kids","parity","income","size","state","marital","meducation","memployment"
"Gymnasium",1982,"male",3,3,146845.978219584,5,"Nordrhein-Westfalen","married",12,"parttime"
"Gymnasium",1984,"female",1,1,103349.106523678,3,"Nordrhein-Westfalen","married",11.5,"fulltime"
"Realschule",1988,"female",3,1,68940.8113343164,5,"Nordrhein-Westfalen","married",12,"none"
"Gymnasium",1986,"male",3,3,106070.410870088,5,"Niedersachsen","married",12,"none"
"Hauptschule",1983,"male",1,1,16416.0003970253,2,"Bayern","divorced",10.5,"none"
"Hauptschule",1983,"female",4,2,83406.6137922603,7,"Rheinland-Pfalz/Saarland","married",11.5,"none"
"Gymnasium",1987,"female",2,1,66555.0308627327,4,"Niedersachsen","married",11.5,"none"
"Hauptschule",1982,"male",4,3,74402.0241083493,7,"Rheinland-Pfalz/Saarland","married",10.5,"parttime"
"Hauptschule",1983,"male",3,3,98862.5543503949,4,"Baden Wuerttemberg","married",11,"parttime"
"Hauptschule",1987,"female",3,1,68180.0074088494,5,"Baden Wuerttemberg","married",12,"fulltime"
"Hauptschule",1981,"female",3,1,42751.4102905639,5,"Bayern","married",10.5,"fulltime"
"Hauptschule",1980,"male",2,2,57407.0261615125,4,"Bayern","married",10.5,"parttime"
"Realschule",1984,"female",4,2,74305.9417710999,6,"Niedersachsen","married",10.5,"none"
"Realschule",1984,"male",5,4,29395.0861563566,6,"Niedersachsen","divorced",10.5,"none"
"Hauptschule",1985,"female",2,1,84709.4933092451,4,"Bayern","married",10.5,"none"
"Hauptschule",1981,"male",3,1,68452.9926328191,3,"Bayern","married",12,"fulltime"
"Gymnasium",1987,"female",2,2,79683.0665972915,4,"Nordrhein-Westfalen","married",11,"parttime"
"Gymnasium",1980,"male",2,2,66482.3318869144,4,"Niedersachsen","married",10.5,"parttime"
"Realschule",1985,"male",3,3,65788.9890517739,3,"Baden Wuerttemberg","married",10.5,"parttime"
"Hauptschule",1986,"female",2,2,112667.193899635,4,"Bayern","married",12,"none"
"Gymnasium",1980,"female",2,1,86824.9882364454,4,"Niedersachsen","married",11.5,"parttime"
"Gymnasium",1980,"female",2,2,15796.9929693607,3,"Hamburg","married",15,"parttime"
"Gymnasium",1981,"female",2,2,65748.3452691929,3,"Berlin","married",10.5,"parttime"
"Gymnasium",1987,"female",2,1,66866.4517666176,4,"Baden Wuerttemberg","married",12,"parttime"
"Gymnasium",1987,"male",2,1,59958.309754514,4,"Baden Wuerttemberg","married",12,"none"
"Realschule",1988,"female",2,2,80498.6515456204,5,"Baden Wuerttemberg","divorced",7,"none"
"Gymnasium",1982,"male",2,1,91566.5125187196,4,"Bayern","married",12,"none"
"Gymnasium",1981,"male",2,2,6623.99727490599,2,"Nordrhein-Westfalen","divorced",11,"none"
"Gymnasium",1981,"male",2,1,51192.3631199937,4,"Rheinland-Pfalz/Saarland","married",9,"none"
